ratio,ratio_err,bin
2.182586381987052,0.129084297753963,0.15
0.46794453476541253,0.17134436289329233,0.3
0.022239944555517446,0.5837350839080794,0.44999999999999996
0.02686123173588473,0.5066708082512463,0.6
0.00684872464789115,1.003418519187229,0.75
0.0065041347285003746,1.0032467965204277,0.8999999999999999
0.0,inf,1.05
0.0,inf,1.2
0.0,inf,1.3499999999999999
0.0,inf,1.5
0.0,inf,1.65
0.0,inf,1.7999999999999998
0.0,inf,1.95
0.0,inf,2.1
0.0,inf,2.25
0.0,inf,2.4
0.0,inf,2.55
0.0,inf,2.6999999999999997
0.0,inf,2.85
0.0,inf,3.0
0.0,inf,3.15
0.0,inf,3.3
0.0,inf,3.4499999999999997
0.0,inf,3.5999999999999996
0.0,inf,3.75
0.0,inf,3.9
0.0,inf,4.05
0.0,inf,4.2
0.0,inf,4.35
0.0,inf,4.5
0.0,inf,4.6499999999999995
0.0,inf,4.8
0.0,inf,4.95
0.0,inf,5.1
0.0,inf,5.25
0.0,inf,5.3999999999999995
0.0,inf,5.55
0.0,inf,5.7
0.0,inf,5.85
0.0,inf,6.0
0.0,inf,6.1499999999999995
0.0,inf,6.3
0.0,inf,6.45
0.0,inf,6.6
0.0,inf,6.75
0.0,inf,6.8999999999999995
0.0,inf,7.05
0.0,inf,7.199999999999999
0.0,inf,7.35
0.0,inf,7.5
0.0,inf,7.6499999999999995
0.0,inf,7.8
0.0,inf,7.949999999999999
0.0,inf,8.1
0.0,inf,8.25
0.0,inf,8.4
0.0,inf,8.549999999999999
0.0,inf,8.7
0.0,inf,8.85
0.0,inf,9.0
0.0,inf,9.15
0.0,inf,9.299999999999999
0.0,inf,9.45
0.0,inf,9.6
0.0,inf,9.75
0.0,inf,9.9
0.0,inf,10.049999999999999
0.0,inf,10.2
0.0,inf,10.35
0.0,inf,10.5
0.0,inf,10.65
0.0,inf,10.799999999999999
0.0,inf,10.95
0.0,inf,11.1
0.0033093037498610847,1.001653285198956,11.25
0.0,inf,11.4
0.0,inf,11.549999999999999
0.0,inf,11.7
0.0,inf,11.85
0.0,inf,12.0
0.0,inf,12.15
0.0,inf,12.299999999999999
0.00369341936368427,1.0018450076552181,12.45
0.0,inf,12.6
0.0,inf,12.75
0.0,inf,12.9
0.0,inf,13.049999999999999
0.0,inf,13.2
0.0,inf,13.35
0.0,inf,13.5
0.0,inf,13.65
0.003319927517918341,1.0016585883013824,13.799999999999999
0.0,inf,13.95
0.0,inf,14.1
0.0,inf,14.25
0.0,inf,14.399999999999999
0.0,inf,14.549999999999999
0.0,inf,14.7
0.0,inf,14.85
0.0,inf,15.0
0.0,inf,15.149999999999999
0.0,inf,15.299999999999999
0.0,inf,15.45
0.0,inf,15.6
0.0,inf,15.75
0.0,inf,15.899999999999999
0.0034074379632011314,1.0017022701198202,16.05
0.0,inf,16.2
0.0,inf,16.349999999999998
0.0,inf,16.5
0.0,inf,16.65
0.0,inf,16.8
0.0,inf,16.95
0.0,inf,17.099999999999998
0.0033685909505913364,1.0016828794337016,17.25
0.0,inf,17.4
0.00980244001736118,0.5801730891200663,17.55
0.0032166638315134044,1.00160704062597,17.7
0.0,inf,17.849999999999998
0.0029589625803480633,1.0014783884739342,18.0
0.0,inf,18.15
0.0031529189689988362,1.0015752188273226,18.3
0.0,inf,18.45
0.006433327663027261,0.7093776595238348,18.599999999999998
0.0,inf,18.75
0.01534358192628505,0.45063146404268867,18.9
0.0031869257991728383,1.0015921953565596,19.05
0.006826121596247766,0.7095160750808426,19.2
0.0,inf,19.349999999999998
0.0031102478852076546,1.0015539166141818,19.5
0.0069406538377961265,0.7095564296931556,19.65
0.00730853301647753,0.7096860337559411,19.8
0.010499060120118048,0.5803731730878327,19.95
0.015349275277647385,0.5038227057402355,20.099999999999998
0.015180292430556378,0.5037807788191597,20.25
0.011139936321345493,0.5805571853318573,20.4
0.01856656053557532,0.45134611121301915,20.55
0.015522062616609244,0.5038655729995376,20.7
0.021725996256967136,0.4520455720957716,20.849999999999998
0.027112741396333663,0.38305403225660956,21.0
0.011220514522585167,0.5805803173040417,21.15
0.027163609579066945,0.38306351759374746,21.3
0.014721102090128698,0.5036668298811549,21.45
0.030812884076919827,0.35895906522835574,21.599999999999998
0.018599953630064385,0.4513535097083137,21.75
0.02691115967591412,0.38301644121292794,21.9
0.011159972178038933,0.5805629372077986,22.05
0.03434471142614129,0.3390091299042846,22.2
0.0390248083710036,0.339775221183228,22.349999999999998
0.029367553561140854,0.38347425943808994,22.5
0.035524491589634916,0.3392024127910837,22.65
0.05366884823876601,0.2846953632648773,22.8
0.028556615198504703,0.38332317868095594,22.95
0.048476129148352864,0.295589260228383,23.099999999999998
0.05961883141379506,0.2854980575730494,23.25
0.041283729414435394,0.32268928234672367,23.4
0.05809873156357705,0.2655935154283173,23.55
0.04779719176532165,0.3086329375819823,23.7
0.05831714784764649,0.2656209263653307,23.849999999999998
0.08704331005395362,0.22751696012699,24.0
0.06131368113627005,0.26599670187632907,24.15
0.08489351970259161,0.2220660753124242,24.3
0.15407311476497276,0.18700778745452162,24.45
0.37447384537901346,0.1264209397846537,24.599999999999998
1.1033897178537513,0.09082173269013447,24.75
2.0919527275907535,0.07630784030909245,24.9
4.532232526447284,0.07244858496494234,25.05
6.276918857050557,0.0662693196437188,25.2
7.490226221602495,0.06695293868632024,25.349999999999998
7.202374866812272,0.06635343025260096,25.5
7.8288624102507764,0.06843790350922369,25.65
8.00291946770164,0.06947879290579963,25.8
8.10197036068444,0.06935968984514426,25.95
7.171743040287337,0.06719207661904597,26.099999999999998
7.444339360237363,0.0672348442608616,26.25
6.929803494548413,0.06589930374136861,26.4
7.620329026856545,0.06903075730654701,26.55
7.103343835670431,0.0674907352568823,26.7
7.560191152341354,0.06871362007857691,26.849999999999998
7.288741509068557,0.06858692715980157,27.0
8.371085076717842,0.07221391688777734,27.15
7.893994819098793,0.070489092698379,27.3
7.054501875603152,0.06732488644753447,27.45
7.249064933763696,0.06734200018061007,27.599999999999998
6.9865751405132155,0.06769110403451888,27.75
7.38439679721173,0.0696568839373963,27.9
6.592753564175485,0.06716725412169282,28.05
7.371031500461752,0.06952092537453546,28.2
7.515169400175516,0.07046356046122011,28.349999999999998
7.399201637372214,0.07008433364900236,28.5
6.70102004474991,0.0678057807809436,28.65
6.620962317380889,0.06721208466976408,28.799999999999997
