ratio,ratio_err,bin
0.06705717516780488,0.07474414211818389,0.15
0.01431121861859083,0.1424297173077719,0.3
0.0008067671428511303,0.5775831158493847,0.44999999999999996
0.0010673937177053522,0.5002667772593202,0.6
0.0002929558957107584,1.0001464672215319,0.75
0.00031079053606839966,1.0001553831960655,0.8999999999999999
0.0,inf,1.05
0.0,inf,1.2
0.0,inf,1.3499999999999999
0.0,inf,1.5
0.0,inf,1.65
0.0,inf,1.7999999999999998
0.0,inf,1.95
0.0,inf,2.1
0.0,inf,2.25
0.0,inf,2.4
0.0,inf,2.55
0.0,inf,2.6999999999999997
0.0,inf,2.85
0.0,inf,3.0
0.0,inf,3.15
0.0,inf,3.3
0.0,inf,3.4499999999999997
0.0,inf,3.5999999999999996
0.0,inf,3.75
0.0,inf,3.9
0.0,inf,4.05
0.0,inf,4.2
0.0,inf,4.35
0.0,inf,4.5
0.0,inf,4.6499999999999995
0.0,inf,4.8
0.0,inf,4.95
0.0,inf,5.1
0.0,inf,5.25
0.0,inf,5.3999999999999995
0.0,inf,5.55
0.0,inf,5.7
0.0,inf,5.85
0.0,inf,6.0
0.0,inf,6.1499999999999995
0.0,inf,6.3
0.0,inf,6.45
0.0,inf,6.6
0.0,inf,6.75
0.0,inf,6.8999999999999995
0.0,inf,7.05
0.0,inf,7.199999999999999
0.0,inf,7.35
0.0,inf,7.5
0.0,inf,7.6499999999999995
0.0,inf,7.8
0.0,inf,7.949999999999999
0.0,inf,8.1
0.0,inf,8.25
0.0,inf,8.4
0.0,inf,8.549999999999999
0.0,inf,8.7
0.0,inf,8.85
0.0,inf,9.0
0.0,inf,9.15
0.0,inf,9.299999999999999
0.0,inf,9.45
0.0,inf,9.6
0.0,inf,9.75
0.0,inf,9.9
0.0,inf,10.049999999999999
0.0,inf,10.2
0.0,inf,10.35
0.0,inf,10.5
0.0,inf,10.65
0.0,inf,10.799999999999999
0.0,inf,10.95
0.0,inf,11.1
0.0007863942352030586,1.000393119845995,11.25
0.0,inf,11.4
0.0,inf,11.549999999999999
0.0,inf,11.7
0.0,inf,11.85
0.0,inf,12.0
0.0,inf,12.15
0.0,inf,12.299999999999999
0.0008005452882786924,1.000400192567094,12.45
0.0,inf,12.6
0.0,inf,12.75
0.0,inf,12.9
0.0,inf,13.049999999999999
0.0,inf,13.2
0.0,inf,13.35
0.0,inf,13.5
0.0,inf,13.65
0.0008698662489955861,1.0004348385822015,13.799999999999999
0.0,inf,13.95
0.0,inf,14.1
0.0,inf,14.25
0.0,inf,14.399999999999999
0.0,inf,14.549999999999999
0.0,inf,14.7
0.0,inf,14.85
0.0,inf,15.0
0.0,inf,15.149999999999999
0.0,inf,15.299999999999999
0.0,inf,15.45
0.0,inf,15.6
0.0,inf,15.75
0.0,inf,15.899999999999999
0.0009351715229441818,1.0004674764943358,16.05
0.0,inf,16.2
0.0,inf,16.349999999999998
0.0,inf,16.5
0.0,inf,16.65
0.0,inf,16.8
0.0,inf,16.95
0.0,inf,17.099999999999998
0.001011078302403939,1.0005054114308447,17.25
0.0,inf,17.4
0.002956444150067212,0.5782030912375764,17.55
0.0009823726092757507,1.0004910657318613,17.7
0.0,inf,17.849999999999998
0.0010812920734042148,1.0005404999665952,18.0
0.0,inf,18.15
0.0010013251354997498,1.000500537298956,18.3
0.0,inf,18.45
0.0020760807809360898,0.7078404060171106,18.599999999999998
0.0,inf,18.75
0.005296124441163498,0.44839628108207225,18.9
0.001230877933361325,1.0006152497005836,19.05
0.002083024194919091,0.7078428583361278,19.2
0.0,inf,19.349999999999998
0.001066479853220595,1.000533097829962,19.5
0.0024520639144914582,0.7079731859027188,19.65
0.0023239710234360085,0.7079279522039782,19.8
0.003908938708875513,0.5784775820228114,19.95
0.0048094535465701155,0.5012009211749741,20.099999999999998
0.004562814903156255,0.501139405480939,20.25
0.003485956535153895,0.5783557026995163,20.4
0.006154389666806405,0.448587647994638,20.55
0.005105116674433233,0.5012746544247059,20.7
0.006329514576024473,0.44862668546933865,20.849999999999998
0.008515175078058225,0.3795702786569604,21.0
0.003941925533422987,0.5784870858637563,21.15
0.009519147685514534,0.3797591619670691,21.3
0.004480749886912435,0.5011189354551753,21.45
0.009472611928225546,0.35522398073754563,21.599999999999998
0.006951163329027158,0.44876523112403155,21.75
0.009519147685514913,0.3797591619670692,21.9
0.003767082062182445,0.5784367098949208,22.05
0.010863213388619128,0.33513897836712114,22.2
0.012028794224307922,0.3353321395313919,22.349999999999998
0.008789858145092371,0.37962196574733437,22.5
0.010991015899073475,0.33516016335462223,22.65
0.01665990750133911,0.2796508685295538,22.8
0.010092059351772778,0.37986690514136895,22.95
0.01639011142844297,0.29103122848307916,23.099999999999998
0.017755954047479885,0.27980157172917,23.25
0.014155096233655315,0.3184580186199832,23.4
0.02235015194787589,0.2610683374071338,23.55
0.015090455015614897,0.30377779783250286,23.7
0.019793143038585766,0.2607416528595033,23.849999999999998
0.02972570209067616,0.22143747930829855,24.0
0.018988543728073418,0.2606387722152473,24.15
0.027186772131306096,0.21607940166556894,24.3
0.0444874453057755,0.17790765780661502,24.45
0.11205624298776472,0.1137140560633089,24.599999999999998
0.3295024475967055,0.07220619840854753,24.75
0.6434234793835035,0.05563235993135669,24.9
1.5555846988909283,0.049240769840727734,25.05
2.4225815873317913,0.045448091496995184,25.2
2.905490393418351,0.045409612888360144,25.349999999999998
2.4687692520535967,0.04315004748536261,25.5
2.768923777404183,0.04471497578698736,25.65
2.3609089368572156,0.04245110062996669,25.8
2.654016782115516,0.043946541509336995,25.95
2.4295514311385924,0.04352906840502294,26.099999999999998
2.585412599192437,0.043810795013774766,26.25
2.3993186746767914,0.043146498163420414,26.4
2.6080764810509938,0.04465998614091461,26.55
2.367530582875215,0.04350786779833118,26.7
2.7675988645860423,0.04558620368187925,26.849999999999998
2.4716583351415062,0.04438799583574522,27.0
2.3712185360225746,0.04331311460177759,27.15
2.719159461860234,0.0455822631746498,27.3
2.753131005763796,0.04595715632072018,27.45
2.484467724028147,0.0437675134130535,27.599999999999998
2.3097502986201035,0.04357615644556144,27.75
2.434932753025522,0.04458484390629879,27.9
2.329362636210316,0.044477307907771435,28.05
2.2014930077028563,0.04299345382057567,28.2
2.0620532080918648,0.042254630109033416,28.349999999999998
2.500069109437153,0.04524183949185226,28.5
2.5321130883989165,0.04592084746474035,28.65
2.2941145922090938,0.04418875952559479,28.799999999999997
2.5584642565065705,0.046078071760867166,28.95
2.5896376056939987,0.04544649736727759,29.099999999999998
2.4527411511916695,0.045689274068740224,29.25
2.175732658421044,0.044946481169041874,29.4
2.5729292396747137,0.0458176098493998,29.549999999999997
2.613357967962304,0.046515453410296365,29.7
2.6174188445650963,0.046389056719473014,29.849999999999998
2.3752518557360065,0.04568757238799983,30.0
2.5702674740059503,0.04549417847138311,30.15
2.6989050152168352,0.04445121819170924,30.299999999999997
2.447169714046837,0.042142332084891064,30.45
2.4116610140377093,0.041005481211933516,30.599999999999998
2.0634984731729045,0.03945447665649951,30.75
1.8770931074691484,0.040639923612124096,30.9
1.56867256295142,0.04157621682507293,31.049999999999997
1.3194884551000627,0.0433725113470681,31.2
1.3931594714176994,0.04653767482109064,31.349999999999998
1.4118221613214117,0.04727830721391531,31.5
1.642272856561483,0.04992704920220235,31.65
1.7267719511277433,0.05100864272606634,31.799999999999997
1.698302147027996,0.05199720729193364,31.95
1.6603267799870771,0.050846352711375845,32.1
1.5354347442339367,0.04879231395096099,32.25
1.5173708060664788,0.05032460832720108,32.4
1.6943497986348868,0.05159845915134837,32.55
1.5338208754678002,0.05059066144779144,32.699999999999996
1.9057675671706165,0.053321822902287506,32.85
1.747367990621156,0.0521552138078992,33.0
2.0027691783592236,0.05401983923037384,33.15
1.7595635471213644,0.05166065762782194,33.3
1.7797463454450595,0.052127244359745556,33.449999999999996
1.5056347314953482,0.04875717950826216,33.6
1.677451868101661,0.05061773303601159,33.75
1.6054352835103798,0.04953109015753975,33.9
1.6049701421851594,0.0492951261383275,34.05
2.0098609629234123,0.05177061677520675,34.199999999999996
1.993679636538051,0.04909551993540653,34.35
1.950572260997622,0.04627309183856382,34.5
1.7398972453867274,0.04309939041911703,34.65
1.8791700656449575,0.04267442953211927,34.8
1.5560085177387082,0.04157163077492249,34.949999999999996
1.1589379089985696,0.041675854370232086,35.1
1.2171221677548618,0.04653126225397402,35.25
