ratio,ratio_err,bin
0.06897566307971253,0.07481130409445241,0.15
0.014647813530903718,0.14245334769888027,0.3
0.0008103538198370926,0.5775841508155145,0.44999999999999996
0.0010923252765435926,0.5002730067864305,0.6
0.0002908205019379794,1.0001453996804355,0.75
0.00030852638078676946,1.0001542512936625,0.8999999999999999
0.0,inf,1.05
0.0,inf,1.2
0.0,inf,1.3499999999999999
0.0,inf,1.5
0.0,inf,1.65
0.0,inf,1.7999999999999998
0.0,inf,1.95
0.0,inf,2.1
0.0,inf,2.25
0.0,inf,2.4
0.0,inf,2.55
0.0,inf,2.6999999999999997
0.0,inf,2.85
0.0,inf,3.0
0.0,inf,3.15
0.0,inf,3.3
0.0,inf,3.4499999999999997
0.0,inf,3.5999999999999996
0.0,inf,3.75
0.0,inf,3.9
0.0,inf,4.05
0.0,inf,4.2
0.0,inf,4.35
0.0,inf,4.5
0.0,inf,4.6499999999999995
0.0,inf,4.8
0.0,inf,4.95
0.0,inf,5.1
0.0,inf,5.25
0.0,inf,5.3999999999999995
0.0,inf,5.55
0.0,inf,5.7
0.0,inf,5.85
0.0,inf,6.0
0.0,inf,6.1499999999999995
0.0,inf,6.3
0.0,inf,6.45
0.0,inf,6.6
0.0,inf,6.75
0.0,inf,6.8999999999999995
0.0,inf,7.05
0.0,inf,7.199999999999999
0.0,inf,7.35
0.0,inf,7.5
0.0,inf,7.6499999999999995
0.0,inf,7.8
0.0,inf,7.949999999999999
0.0,inf,8.1
0.0,inf,8.25
0.0,inf,8.4
0.0,inf,8.549999999999999
0.0,inf,8.7
0.0,inf,8.85
0.0,inf,9.0
0.0,inf,9.15
0.0,inf,9.299999999999999
0.0,inf,9.45
0.0,inf,9.6
0.0,inf,9.75
0.0,inf,9.9
0.0,inf,10.049999999999999
0.0,inf,10.2
0.0,inf,10.35
0.0,inf,10.5
0.0,inf,10.65
0.0,inf,10.799999999999999
0.0,inf,10.95
0.0,inf,11.1
0.0007755455010555486,1.0003876975958148,11.25
0.0,inf,11.4
0.0,inf,11.549999999999999
0.0,inf,11.7
0.0,inf,11.85
0.0,inf,12.0
0.0,inf,12.15
0.0,inf,12.299999999999999
0.0008323939406727445,1.0004161103964053,12.45
0.0,inf,12.6
0.0,inf,12.75
0.0,inf,12.9
0.0,inf,13.049999999999999
0.0,inf,13.2
0.0,inf,13.35
0.0,inf,13.5
0.0,inf,13.65
0.0009000545415779767,1.000449926054062,13.799999999999999
0.0,inf,13.95
0.0,inf,14.1
0.0,inf,14.25
0.0,inf,14.399999999999999
0.0,inf,14.549999999999999
0.0,inf,14.7
0.0,inf,14.85
0.0,inf,15.0
0.0,inf,15.149999999999999
0.0,inf,15.299999999999999
0.0,inf,15.45
0.0,inf,15.6
0.0,inf,15.75
0.0,inf,15.899999999999999
0.0009648026512355619,1.0004822850261945,16.05
0.0,inf,16.2
0.0,inf,16.349999999999998
0.0,inf,16.5
0.0,inf,16.65
0.0,inf,16.8
0.0,inf,16.95
0.0,inf,17.099999999999998
0.0010275721764316278,1.0005136541679138,17.25
0.0,inf,17.4
0.0031104517329907776,0.5782474821196055,17.55
0.0010214998523421332,1.0005106195600035,17.7
0.0,inf,17.849999999999998
0.0010279116452709346,1.000513823815179,18.0
0.0,inf,18.15
0.001069240051627071,1.0005344771928786,18.3
0.0,inf,18.45
0.002128241142431347,0.7078588281368083,18.599999999999998
0.0,inf,18.75
0.005337030103317986,0.44840540364793063,18.9
0.001082633455196545,1.0005411702949543,19.05
0.0022400925487648803,0.7078983304644689,19.2
0.0,inf,19.349999999999998
0.001125719446539355,1.000562701406833,19.5
0.0022248756169000105,0.7078929564619569,19.65
0.002346522285244632,0.7079359159857779,19.8
0.0034713520456322753,0.5783514940603831,19.95
0.004604496559725929,0.5011498020950736,20.099999999999998
0.004839017963039416,0.5012082945151245,20.25
0.0035264320554229075,0.5783673665458149,20.4
0.006053479669717523,0.4485651523847383,20.55
0.0048942014160203995,0.5012220569308629,20.7
0.006258022023802047,0.44861074931922934,20.849999999999998
0.008250159034713028,0.3795204039375999,21.0
0.003747276455521669,0.5784310032192032,21.15
0.008712167940656728,0.37960734750164765,21.3
0.0048503328920264455,0.5012111164200238,21.45
0.010384609262360045,0.3553844061826503,21.599999999999998
0.00608901868930429,0.4485730751369958,21.75
0.00848808256104598,0.37956518027889413,21.9
0.0037533034381606943,0.5784327398059232,22.05
0.011219309676325848,0.3351980027911075,22.2
0.011547792557572224,0.33525244096510853,22.349999999999998
0.009015074441904435,0.37966433942965694,22.5
0.01137424734041962,0.33522368110137707,22.65
0.016917336324991955,0.27968627153748155,22.8
0.008656764646915607,0.37959692243350435,22.95
0.015531556823137355,0.29090828406090713,23.099999999999998
0.01661846801686498,0.2796451691280969,23.25
0.012825591715724104,0.31824920922379746,23.4
0.020126057892848947,0.260784209375344,23.55
0.014326653014893031,0.3036634879442124,23.7
0.020515309122428008,0.26083395856654706,23.849999999999998
0.028164336015058015,0.22126953354880902,24.0
0.020108715318188846,0.2607819926449663,24.15
0.02989202974024791,0.216363754078871,24.3
0.044296428886003124,0.17789138913921293,24.45
0.11257383900723614,0.11374051654856902,24.599999999999998
0.34096672982798726,0.07251684671956558,24.75
