ratio,ratio_err,bin
0.19338952765849246,0.07904500433458074,0.15
0.040938449199862066,0.14428710609059023,0.3
0.002318398866347885,0.5780191458381368,0.44999999999999996
0.0031095112757177595,0.5007767744403981,0.6
0.0007946389331971506,1.0003972405665646,0.75
0.0008444103979104868,1.000422116107951,0.8999999999999999
0.0,inf,1.05
0.0,inf,1.2
0.0,inf,1.3499999999999999
0.0,inf,1.5
0.0,inf,1.65
0.0,inf,1.7999999999999998
0.0,inf,1.95
0.0,inf,2.1
0.0,inf,2.25
0.0,inf,2.4
0.0,inf,2.55
0.0,inf,2.6999999999999997
0.0,inf,2.85
0.0,inf,3.0
0.0,inf,3.15
0.0,inf,3.3
0.0,inf,3.4499999999999997
0.0,inf,3.5999999999999996
0.0,inf,3.75
0.0,inf,3.9
0.0,inf,4.05
0.0,inf,4.2
0.0,inf,4.35
0.0,inf,4.5
0.0,inf,4.6499999999999995
0.0,inf,4.8
0.0,inf,4.95
0.0,inf,5.1
0.0,inf,5.25
0.0,inf,5.3999999999999995
0.0,inf,5.55
0.0,inf,5.7
0.0,inf,5.85
0.0,inf,6.0
0.0,inf,6.1499999999999995
0.0,inf,6.3
0.0,inf,6.45
0.0,inf,6.6
0.0,inf,6.75
0.0,inf,6.8999999999999995
0.0,inf,7.05
0.0,inf,7.199999999999999
0.0,inf,7.35
0.0,inf,7.5
0.0,inf,7.6499999999999995
0.0,inf,7.8
0.0,inf,7.949999999999999
0.0,inf,8.1
0.0,inf,8.25
0.0,inf,8.4
0.0,inf,8.549999999999999
0.0,inf,8.7
0.0,inf,8.85
0.0,inf,9.0
0.0,inf,9.15
0.0,inf,9.299999999999999
0.0,inf,9.45
0.0,inf,9.6
0.0,inf,9.75
0.0,inf,9.9
0.0,inf,10.049999999999999
0.0,inf,10.2
0.0,inf,10.35
0.0,inf,10.5
0.0,inf,10.65
0.0,inf,10.799999999999999
0.0,inf,10.95
0.0,inf,11.1
0.001426319302557432,1.0007129055341284,11.25
0.0,inf,11.4
0.0,inf,11.549999999999999
0.0,inf,11.7
0.0,inf,11.85
0.0,inf,12.0
0.0,inf,12.15
0.0,inf,12.299999999999999
0.001419120863395281,1.0007093088721597,12.45
0.0,inf,12.6
0.0,inf,12.75
0.0,inf,12.9
0.0,inf,13.049999999999999
0.0,inf,13.2
0.0,inf,13.35
0.0,inf,13.5
0.0,inf,13.65
0.001475502726783537,1.0007374794254402,13.799999999999999
0.0,inf,13.95
0.0,inf,14.1
0.0,inf,14.25
0.0,inf,14.399999999999999
0.0,inf,14.549999999999999
0.0,inf,14.7
0.0,inf,14.85
0.0,inf,15.0
0.0,inf,15.149999999999999
0.0,inf,15.299999999999999
0.0,inf,15.45
0.0,inf,15.6
0.0,inf,15.75
0.0,inf,15.899999999999999
0.0015071367821815908,1.000753284672192,16.05
0.0,inf,16.2
0.0,inf,16.349999999999998
0.0,inf,16.5
0.0,inf,16.65
0.0,inf,16.8
0.0,inf,16.95
0.0,inf,17.099999999999998
0.0015708863827049251,1.0007851349728896,17.25
0.0,inf,17.4
0.004773615127394775,0.5787266525535162,17.55
0.00154499265112196,1.000772198180546,17.7
0.0,inf,17.849999999999998
0.0015609204104116245,1.0007801558836045,18.0
0.0,inf,18.15
0.0015759172438183228,1.000787648426887,18.3
0.0,inf,18.45
0.0030073653743762545,0.708169247205206,18.599999999999998
0.0,inf,18.75
0.007879586219092337,0.4489720673313859,18.9
0.0015437808921797919,1.0007715927683898,19.05
0.0031070570442448845,0.7082044397786013,19.2
0.0,inf,19.349999999999998
0.0016094199816263464,1.000804386472015,19.5
0.0034868390390245915,0.7083384921910656,19.65
0.0032669222199652485,0.7082608708025473,19.8
0.0049496746962178016,0.5787773534777767,19.95
0.006512227088600304,0.5016254147988817,20.099999999999998
0.006787312543203782,0.5016939586399272,20.25
0.005068636834838865,0.5788116092002183,20.4
0.00855048061481076,0.44912147145617765,20.55
0.006955196599043107,0.5017357861960424,20.7
0.009028993750133744,0.44922800307864463,20.849999999999998
0.012710557622421188,0.3803589578322075,21.0
0.005230258558536356,0.5788581457082947,21.15
0.012502944158534436,0.3803199675758998,21.3
0.007164042356794211,0.5017878143091944,21.45
0.013199132523247155,0.3558790406379756,21.599999999999998
0.00847683306429534,0.44910507302062297,21.75
0.01197067286073298,0.3802199876125724,21.9
0.005055618075845688,0.5788078604844747,22.05
0.015553016451065755,0.3359155013543114,22.2
0.016192765756637605,0.3360212899598671,22.349999999999998
0.012247328411294207,0.3802719568961317,22.5
0.016192765756639298,0.33602128995986735,22.65
0.0227046746121358,0.2804809982062594,22.8
0.012571390933125058,0.3803328224694646,22.95
0.02141418644637351,0.2917496338824286,23.099999999999998
0.023453866441686733,0.2805837138814624,23.25
0.017893823977539566,0.3190444834153287,23.4
0.02809211185817024,0.2618004471422423,23.55
0.019900300563254564,0.304496648819185,23.7
0.028389239964365074,0.2618382757816187,23.849999999999998
0.037714172799375174,0.222294760643372,24.0
0.02652723231171301,0.26160112541956093,24.15
0.040967884603260486,0.2175240722941278,24.3
0.06463142391886685,0.17961502804768795,24.45
0.1610614413201936,0.11619257477978419,24.599999999999998
0.4505581351614725,0.07542190182661154,24.75
0.9954078652648993,0.0613011439920672,24.9
2.0439506915817875,0.053740103820298826,25.05
2.970407373757745,0.04895040396292786,25.2
3.6124024103496146,0.049348460401588905,25.349999999999998
3.4270853716982677,0.04874751942818883,25.5
3.454640969965182,0.048612804471684395,25.65
3.519576211881111,0.04922768795162188,25.8
3.654624775471461,0.04960001095162587,25.95
3.428932005705181,0.04946639020646353,26.099999999999998
3.6011977971642213,0.049630313172837746,26.25
